 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
35;20;699.300;69.843;588;800;120.250;38.250;120.212;38.246;5.142;4.953;45.003;100;A
36;157;724.197;77.255;553;964;259.748;44.443;259.757;44.456;22.554;8.863;54.575;100;A
37;111;715.856;67.806;587;910;404.059;42.239;404.055;42.285;12.823;11.022;149.873;100;A
38;39;672.590;68.638;519;807;503.859;39.782;503.876;39.782;7.830;6.342;50.943;100;A
39;22;723.955;79.660;584;870;213.409;39.409;213.442;39.422;5.554;5.043;134.999;100;A
40;6;737.000;66.672;662;849;302.833;39.167;302.830;39.148;3.489;2.190;135.000;100;A
41;59;727.508;77.822;581;948;191.144;42.059;191.054;42.026;12.910;5.819;169.126;100;A
42;287;751.362;102.285;553;1201;423.399;54.646;423.268;54.738;28.599;12.777;38.179;100;A
43;265;;80.756;572;992;349.919;54.526;349.897;54.530;25.786;13.085;28.034;100;A
44;90;714.111;69.871;556;871;310.256;49.056;310.253;49.075;15.979;7.171;162.072;100;A
45;193;701.062;80.610;517;1017;25.319;51.946;25.369;51.903;23.068;10.653;3.534;100;A
46;46;717.348;93.787;571;924;119.978;49.370;119.967;49.344;8.550;6.850;158.699;100;A
47;407;730.904;76.120;545;986;172.905;58.355;172.872;58.441;24.286;21.338;34.343;100;A
48;42;705.929;87.055;574;997;199.571;50.690;199.579;;7.858;6.805;171.155;100;A
49;147;679.728;63.735;522;865;111.854;60.670;111.856;60.709;22.201;8.431;111.502;100;A
50;31;748.258;82.061;587;929;215.952;52.242;215.966;52.262;7.876;5.011;2.624;100;A
51;291;726.285;110.763;545;1343;455.270;59.610;455.355;59.698;26.250;14.115;175.470;100;A
52;179;696.665;67.719;552;;130.545;62.047;130.553;62.093;18.836;12.099;100.052;100;A
53;28;705.643;77.071;601;963;373.250;54.464;373.237;54.467;7.525;4.738;19.283;100;A
54;63;692.000;69.923;541;869;96.198;59.135;96.185;59.132;10.750;7.462;108.685;100;A
55;17;720.118;82.535;557;863;140.618;55.912;140.632;55.899;5.229;4.140;15.172;100;A
56;19;704.263;71.592;591;833;381.289;58.237;381.334;58.278;6.424;3.766;131.197;100;A
57;106;681.245;72.400;555;953;486.689;59.151;486.645;59.141;17.559;7.686;176.020;100;C
58;26;683.385;58.213;594;801;9.115;58.654;9.122;58.655;6.898;4.799;168.114;100;C
59;4;818.250;74.821;737;890;154.500;58.000;154.547;58.039;3.216;1.583;148.283;100;C
60;345;736.939;81.976;563;1064;333.280;75.143;333.217;75.064;28.890;15.205;96.839;100;C
61;8;718.000;55.162;638;801;83.375;62.625;83.378;62.617;3.538;2.879;135.000;100;C
62;213;740.648;77.860;561;939;392.786;71.317;392.745;71.292;18.382;14.754;125.654;100;C
63;438;774.233;139.132;547;1402;208.192;79.639;208.311;79.366;30.132;18.508;68.795;100;C
64;43;732.698;70.340;610;895;359.337;67.151;359.302;67.167;10.190;5.373;174.677;100;B
65;27;750.296;63.091;632;855;377.574;68.093;377.588;68.082;6.451;5.329;102.492;100;C
66;53;721.321;93.732;583;1022;73.632;69.934;73.594;69.880;9.524;7.085;149.606;100;B
67;115;716.965;70.926;572;918;445.291;74.891;445.274;74.903;14.299;10.240;113.500;100;B
68;16;692.312;68.027;603;850;27.188;70.062;27.146;70.035;5.186;3.928;124.419;100;B
69;76;746.737;68.930;589;963;156.697;76.408;156.672;76.410;16.521;5.857;87.497;100;B
70;283;738.367;102.828;555;1231;420.175;81.443;420.115;81.351;24.602;14.646;93.112;100;C
71;40;689.750;73.412;544;841;8.050;74.575;8.044;74.618;9.374;5.433;111.123;100;A
72;77;713.714;76.429;576;900;141.357;78.526;141.354;78.552;15.105;6.491;82.913;100;A
73;302;766.301;132.624;576;1355;303.381;90.570;303.363;90.846;35.528;10.823;98.150;100;A
74;14;686.000;55.269;614;791;482.500;73.500;482.489;73.503;4.863;3.666;90.000;100;A
75;12;707.167;78.561;563;801;108.167;73.750;108.136;73.785;4.164;3.669;19.805;100;A
76;41;742.463;83.872;597;970;370.085;77.037;370.090;77.053;8.362;6.243;112.000;100;A
77;10;728.400;81.435;609;847;320.300;76.800;320.314;;4.456;2.857;71.778;100;A
78;14;681.643;66.101;552;796;508.214;77.000;508.169;77.034;4.264;4.181;90.000;100;A
79;1;769.000;0;769;769;179.500;78.500;179.500;78.500;1.128;1.128;0;100;B
80;109;768.119;70.612;625;1035;171.362;85.197;171.390;85.205;13.619;10.190;167.745;100;B
81;2295;765.239;96.545;558;1431;375.003;134.888;374.982;135.359;65.769;44.429;127.247;100;B
82;57;701.842;65.416;556;899;465.763;82.763;465.724;82.756;9.859;7.361;153.351;100;B
